netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path,Q-1,fmid,vs30
CI.CRG,-119.724861,35.242199,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.52,36.249,0.2,2.389745,1.0,9.0,0.00068458,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,3.0,611.531
CI.CRR,-115.969177,32.886822,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.3,15.708,0.2,22.02748,6.0,13.0,0.01189979,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06366182836771073,0.75,442.7647
CI.CRR,-115.969177,32.886822,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.07,134.64,0.2,1.852198,3.0,23.0,0.00388062,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.007427213309566251,1.5,442.7647
CI.CRR,-115.969177,32.886822,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.11,171.36,0.2,1.225909,1.0,17.0,0.00316939,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.005835667600373482,3.0,442.7647
CI.CRY,-119.628098,34.778252,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.13,36.249,0.2,2.769145,6.0,20.0,0.00402297,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,0.75,750.0
CI.CRY,-119.628098,34.778252,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.22,42.84,0.2,3.064572,3.0,11.0,0.00552957,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.023342670401493928,1.5,750.0
CI.CRY,-119.628098,34.778252,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.64,29.452,0.2,1.959431,1.0,6.0,0.00279583,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03395355154149124,3.0,750.0
CI.CTC,-115.990059,33.655159,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.31,15.201,0.2,7.400206,6.0,12.0,0.00487456,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06578514571409776,0.75,392.9432
CI.CTC,-115.990059,33.655159,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.11,85.68,0.2,1.321754,3.0,25.0,0.00069053,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.011671335200746964,1.5,392.9432
CI.CTC,-115.990059,33.655159,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.18,104.72,0.2,1.649453,1.0,25.0,0.00017107,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.009549274255156608,3.0,392.9432
CI.CTW,-115.872139,33.67728,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,0.288568,6.0,15.0,0.00177147,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,453.8113
CI.CTW,-115.872139,33.67728,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.3,31.416,0.2,1.411782,3.0,25.0,2.587e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,1.5,453.8113
CI.CTW,-115.872139,33.67728,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.72,26.18,0.2,7.139934,1.0,14.0,1.828e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03819709702062643,3.0,453.8113
CI.CVW,-118.939133,34.922169,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.06,78.54,0.2,2.93421,6.0,11.0,0.02885096,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.012732365673542143,0.75,900.0
CI.CVW,-118.939133,34.922169,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.12,78.54,0.2,0.750758,3.0,15.0,0.00114597,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.012732365673542143,1.5,900.0
CI.CVW,-118.939133,34.922169,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.36,52.36,0.2,1.753484,1.0,9.0,0.00155212,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,3.0,900.0
CI.CWP,-117.557747,33.557976,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.04,117.81,0.2,2.717781,6.0,23.0,0.01167037,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.008488243782361429,0.75,546.6932
CI.CWP,-117.557747,33.557976,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.13,72.498,0.2,0.412299,3.0,21.0,0.0002796,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.013793483958178155,1.5,546.6932
CI.CWP,-117.557747,33.557976,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.34,55.44,0.2,1.540854,1.0,11.0,0.00058907,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.01803751803751804,3.0,546.6932
CI.CZN,-116.784088,33.91375,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,0.138717,6.0,24.0,0.00186812,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,559.7493
CI.CZN,-116.784088,33.91375,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.02,471.239,0.2,0.164308,3.0,12.0,0.00219808,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,1.5,559.7493
CI.CZN,-116.784088,33.91375,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.01,1884.956,0.2,0.737638,1.0,16.0,0.00657453,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0005305163621856426,3.0,559.7493
CI.DAN,-115.381149,34.637451,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.08,58.905,0.2,0.723086,6.0,19.0,0.00270657,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016976487564722857,0.75,474.0194
CI.DAN,-115.381149,34.637451,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.18,52.36,0.2,1.09653,3.0,19.0,0.00067194,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,1.5,474.0194
CI.DAN,-115.381149,34.637451,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.44,42.84,0.2,3.10522,1.0,16.0,6.887e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.023342670401493928,3.0,474.0194
CI.DEC,-118.333832,34.253529,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.15,31.416,0.2,1.604181,6.0,15.0,0.00268707,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,0.75,486.3673
CI.DEC,-118.333832,34.253529,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.19,49.604,0.2,0.524049,3.0,21.0,0.00019487,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.020159664543182,1.5,486.3673
CI.DEC,-118.333832,34.253529,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.35,53.856,0.2,2.600677,1.0,23.0,1.194e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.018568033273915627,3.0,486.3673
CI.DEV,-116.577942,33.93597,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.05,94.248,0.2,0.357398,6.0,13.0,0.00191035,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.010610304727951787,0.75,500.5821
CI.DEV,-116.577942,33.93597,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.08,117.81,0.2,0.329128,3.0,15.0,0.00119683,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.008488243782361429,1.5,500.5821
CI.DEV,-116.577942,33.93597,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.29,64.998,0.2,2.85385,1.0,15.0,0.00048525,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.015385088771962213,3.0,500.5821
CI.DGR,-117.009468,33.650009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.2,23.562,0.2,6.40241,6.0,10.0,0.0248896,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.042441218911807146,0.75,558.4363
CI.DGR,-117.009468,33.650009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.746018,3.0,11.0,0.01566032,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,558.4363
CI.DGR,-117.009468,33.650009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.32,58.905,0.2,0.399866,1.0,2.0,0.01064677,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016976487564722857,3.0,558.4363
CI.DLA,-118.096237,33.848221,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.06,78.54,0.2,3.603923,6.0,22.0,0.0112053,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.012732365673542143,0.75,237.8214
CI.DLA,-118.096237,33.848221,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.05,188.496,0.2,1.728961,3.0,25.0,0.00456034,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.005305152363975893,1.5,237.8214
CI.DLA,-118.096237,33.848221,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.18,104.72,0.2,0.837343,1.0,21.0,0.00022663,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.009549274255156608,3.0,237.8214
CI.DNR,-116.630562,33.566669,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.17,27.72,0.2,1.44816,6.0,17.0,0.00148075,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03607503607503608,0.75,385.9803
CI.DNR,-116.630562,33.566669,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.23,40.977,0.2,0.438461,3.0,15.0,0.00031937,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.024403933914146962,1.5,385.9803
CI.DNR,-116.630562,33.566669,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.49,38.468,0.2,1.434047,1.0,9.0,0.00044976,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.025995632733700737,3.0,385.9803
CI.DZA,-116.774773,32.606571,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.15,31.416,0.2,1.110819,6.0,14.0,0.00277321,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,0.75,702.5541
CI.DZA,-116.774773,32.606571,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.57,16.535,0.2,0.206502,3.0,5.0,0.00054773,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06047777441790142,1.5,702.5541
CI.DZA,-116.774773,32.606571,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.27,69.813,0.2,0.073031,1.0,6.0,0.00052635,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014323979774540557,3.0,702.5541
CI.EOC,-119.769409,34.450291,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.03,157.08,0.2,1.274184,6.0,25.0,0.00411951,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,0.75,552.4824
CI.EOC,-119.769409,34.450291,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,1.263436,3.0,17.0,0.01769516,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,552.4824
CI.EOC,-119.769409,34.450291,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.12,157.08,0.2,0.748228,1.0,17.0,0.00143501,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,3.0,552.4824
CI.ERR,-115.82267,33.116749,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,0.493079,6.0,16.0,0.00581811,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,218.6029
CI.ERR,-115.82267,33.116749,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.31,30.403,0.2,15.346339,3.0,22.0,0.00060285,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03289149097128573,1.5,218.6029
CI.ERR,-115.82267,33.116749,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.4,47.124,0.2,5.59871,1.0,23.0,2.887e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.021220609455903573,3.0,218.6029
CI.FDR,-118.934334,35.64262,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.15,31.416,0.2,5.881787,6.0,26.0,0.00219178,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,0.75,409.2831
CI.FDR,-118.934334,35.64262,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.03,314.159,0.2,1.560949,3.0,16.0,0.01179979,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0031831015504887655,1.5,409.2831
CI.FDR,-118.934334,35.64262,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.02,942.478,0.2,0.4931,1.0,7.0,0.00929431,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,3.0,409.2831
CI.FHO,-116.935883,34.093552,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.14,33.66,0.2,5.960901,6.0,22.0,0.00410818,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.029708853238265005,0.75,608.0
CI.FHO,-116.935883,34.093552,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.14,67.32,0.2,0.389948,3.0,14.0,0.00107493,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,1.5,608.0
CI.FHO,-116.935883,34.093552,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.26,72.498,0.2,1.96319,1.0,13.0,0.00245819,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.013793483958178155,3.0,608.0
CI.FMP,-118.293808,33.712639,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.08,58.905,0.2,0.282405,6.0,23.0,0.00057321,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016976487564722857,0.75,293.6031
CI.FMP,-118.293808,33.712639,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.24,39.27,0.2,1.762912,3.0,27.0,5.149e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.025464731347084286,1.5,293.6031
CI.FMP,-118.293808,33.712639,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.29,64.998,0.2,0.886178,1.0,19.0,6.181e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.015385088771962213,3.0,293.6031
CI.FOX2,-118.240463,34.733898,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,1.259575,6.0,22.0,0.00776617,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,369.0501
CI.FOX2,-118.240463,34.733898,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.34225,3.0,15.0,0.00384654,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,369.0501
CI.FOX2,-118.240463,34.733898,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.17,110.88,0.2,0.574512,1.0,15.0,0.00046284,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.00901875901875902,3.0,369.0501
CI.FRK,-115.638351,33.402088,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,0.573028,6.0,22.0,0.00131866,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,271.6586
CI.FRK,-115.638351,33.402088,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.16,58.905,0.2,0.892266,3.0,23.0,0.00025895,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016976487564722857,1.5,271.6586
CI.FRK,-115.638351,33.402088,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.22,85.68,0.2,0.732008,1.0,20.0,8.991e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.011671335200746964,3.0,271.6586
CI.FUR,-116.86322,36.46703,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.1,47.124,0.2,0.818679,6.0,14.0,0.00438151,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.021220609455903573,0.75,448.282
CI.FUR,-116.86322,36.46703,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.12,78.54,0.2,8.961118,3.0,29.0,0.00419103,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.012732365673542143,1.5,448.282
CI.FUR,-116.86322,36.46703,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.25,75.398,0.2,2.999085,1.0,15.0,0.00114065,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.013262951271917027,3.0,448.282
CI.GATR,-120.50235,34.552662,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.02,235.619,0.2,0.47713,6.0,19.0,0.00430995,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.00424413990382779,0.75,652.8488
CI.GATR,-120.50235,34.552662,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.25,37.699,0.2,1.622791,3.0,10.0,0.0029278,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.026525902543834055,1.5,652.8488
CI.GATR,-120.50235,34.552662,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.34,55.44,0.2,0.942054,1.0,4.0,0.01037256,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.01803751803751804,3.0,652.8488
CI.GDF,-118.916763,34.479301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.16,29.452,0.2,7.917464,6.0,15.0,0.01624711,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03395355154149124,0.75,430.7522
CI.GDF,-118.916763,34.479301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.980427,3.0,7.0,0.04441908,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,430.7522
CI.GDF,-118.916763,34.479301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.03,18.301,0.2,1.443382,1.0,3.0,0.00518418,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.054641822851210324,3.0,430.7522
CI.GFS,-120.214355,34.476604,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.3,15.708,0.2,5.207622,6.0,14.0,0.00192377,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06366182836771073,0.75,668.0
CI.GFS,-120.214355,34.476604,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.26,36.249,0.2,0.547901,3.0,13.0,0.0005379,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,1.5,668.0
CI.GFS,-120.214355,34.476604,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.55,34.272,0.2,0.777283,1.0,7.0,0.00054084,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.029178338001867414,3.0,668.0
CI.GLA,-114.827057,33.051491,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.25,18.85,0.2,5.801873,6.0,13.0,0.00694812,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.05305039787798408,0.75,517.0
CI.GLA,-114.827057,33.051491,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.23,40.977,0.2,2.851884,3.0,23.0,0.00014453,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.024403933914146962,1.5,517.0
CI.GLA,-114.827057,33.051491,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.12,157.08,0.2,2.348489,1.0,23.0,0.00210875,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,3.0,517.0
CI.GOR,-117.22921,33.153702,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.29,16.25,0.2,2.227537,6.0,12.0,0.00195096,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06153846153846154,0.75,570.0671
CI.GOR,-117.22921,33.153702,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.03,314.159,0.2,0.305523,3.0,10.0,0.00495076,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0031831015504887655,1.5,570.0671
CI.GOR,-117.22921,33.153702,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.03,628.319,0.2,0.188966,1.0,14.0,0.00058854,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.001591548242214544,3.0,570.0671
CI.GOU,-118.188339,34.221191,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,4.373236,6.0,14.0,0.03000958,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,537.1341
